mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
262,rank+stable_rank+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
263,frob2+rank+stable_rank+in_strength_vector,4,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
264,singular_values+in_strength_vector,2,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
265,frob2+singular_values+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
266,rank+singular_values+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
267,frob2+rank+singular_values+in_strength_vector,4,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
268,stable_rank+singular_values+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
269,frob2+stable_rank+singular_values+in_strength_vector,4,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
270,rank+stable_rank+singular_values+in_strength_vector,4,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
271,frob2+rank+stable_rank+singular_values+in_strength_vector,5,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
272,out_strength_distribution+in_strength_vector,2,11178,11170,0.9992843084630524,0.9997877458610442,2526,0.014051522248243575
273,frob2+out_strength_distribution+in_strength_vector,3,11178,11170,0.9992843084630524,0.9997877458610442,2527,0.013661202185792365
274,rank+out_strength_distribution+in_strength_vector,3,11178,11170,0.9992843084630524,0.9997877458610442,2528,0.013270882123341154
275,frob2+rank+out_strength_distribution+in_strength_vector,4,11178,11170,0.9992843084630524,0.9997877458610442,2528,0.013270882123341154
276,stable_rank+out_strength_distribution+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
277,frob2+stable_rank+out_strength_distribution+in_strength_vector,4,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
